Time, vA, vB, vC, targetVelocity, pwmA, pwmB, pwmC
200, 0.00, 0.00, 0.00,0.00,0.00, 0.00, 0.00,
400, 0.00, 0.00, 0.00,7.30,0.00, 0.00, 0.01,
600, 6.83, 12.95, 32.16,14.60,0.10, 0.07, 0.02,
800, 8.12, 10.39, 56.94,21.90,0.14, 0.11, 0.03,
1000, 25.16, 20.95, 85.90,29.20,0.08, 0.10, 0.04,
1200, 29.96, 30.98, 107.31,36.50,0.09, 0.09, 0.05,
1400, 35.85, 37.42, 128.46,43.80,0.11, 0.09, 0.06,
1600, 45.67, 46.22, 144.83,51.10,0.10, 0.09, 0.07,
1800, 50.99, 50.53, 161.09,58.40,0.11, 0.11, 0.08,
2000, 61.47, 60.74, 178.25,65.70,0.09, 0.09, 0.09,
2200, 66.64, 66.01, 194.44,73.00,0.11, 0.11, 0.10,
2400, 75.46, 75.02, 207.19,80.30,0.09, 0.10, 0.11,
2600, 80.83, 79.96, 224.29,87.60,0.11, 0.11, 0.12,
2800, 91.75, 87.33, 237.98,94.90,0.08, 0.12, 0.13,
3000, 96.40, 95.36, 250.98,102.20,0.10, 0.12, 0.14,
3200, 101.58, 104.10, 263.89,109.50,0.12, 0.11, 0.15,
3400, 112.16, 109.95, 277.28,116.80,0.10, 0.11, 0.16,
3600, 119.73, 119.05, 289.56,124.10,0.10, 0.10, 0.17,
3800, 125.89, 125.04, 300.45,131.40,0.10, 0.11, 0.18,
4000, 132.60, 132.13, 316.10,138.70,0.11, 0.11, 0.19,
4200, 137.50, 146.10, 326.58,146.00,0.12, 0.07, 0.20,
4400, 147.42, 146.11, 337.78,153.30,0.11, 0.12, 0.21,
4600, 157.31, 154.42, 350.02,160.60,0.09, 0.11, 0.22,
4800, 163.08, 161.81, 360.38,167.90,0.10, 0.11, 0.23,
5000, 172.36, 170.45, 370.25,175.20,0.08, 0.10, 0.24,
5200, 179.42, 177.73, 382.02,182.50,0.09, 0.10, 0.25,
5400, 188.34, 187.24, 391.76,189.80,0.07, 0.09, 0.26,
5600, 195.96, 192.13, 400.31,197.10,0.07, 0.10, 0.27,
5800, 202.93, 200.90, 412.90,204.40,0.08, 0.09, 0.28,
6000, 210.63, 205.76, 420.85,211.70,0.06, 0.11, 0.29,
6200, 217.57, 214.30, 428.50,219.00,0.08, 0.10, 0.30,
6400, 229.07, 223.07, 437.02,226.30,0.05, 0.09, 0.31,
6600, 235.23, 230.83, 444.68,233.60,0.06, 0.09, 0.32,
6800, 239.25, 240.03, 453.81,240.90,0.07, 0.08, 0.33,
7000, 249.30, 246.57, 462.82,248.20,0.06, 0.08, 0.34,
7200, 255.64, 253.06, 465.91,255.50,0.06, 0.09, 0.35,
7400, 264.30, 262.73, 474.22,262.80,0.05, 0.07, 0.36,
7600, 273.91, 268.52, 481.07,270.10,0.04, 0.08, 0.37,
7800, 280.77, 276.64, 487.62,277.40,0.05, 0.07, 0.38,
8000, 289.48, 286.80, 495.69,284.70,0.04, 0.06, 0.39,
8200, 297.01, 293.48, 500.62,292.00,0.04, 0.07, 0.40,
8400, 305.59, 304.21, 506.84,299.30,0.03, 0.05, 0.41,
8600, 313.82, 307.44, 512.61,306.60,0.02, 0.08, 0.42,
8800, 318.42, 317.55, 521.09,313.90,0.04, 0.05, 0.43,
9000, 327.77, 325.18, 525.62,321.20,0.04, 0.06, 0.44,
9200, 337.12, 333.55, 534.34,328.50,0.01, 0.06, 0.45,
9400, 341.75, 337.40, 539.42,335.80,0.05, 0.08, 0.46,
9600, 352.89, 349.73, 546.62,343.10,0.03, 0.06, 0.47,
9800, 359.36, 355.51, 550.57,350.40,0.02, 0.08, 0.48,
10000, 365.85, 364.96, 559.16,357.70,0.03, 0.06, 0.49,
10200, 374.82, 372.43, 562.41,365.00,0.03, 0.06, 0.50,
10400, 383.01, 377.20, 565.52,372.30,0.03, 0.08, 0.51,
10600, 389.86, 384.55, 570.42,379.60,0.03, 0.08, 0.52,
10800, 397.87, 393.99, 574.01,386.90,0.03, 0.08, 0.53,
11000, 407.31, 402.72, 577.19,394.20,0.02, 0.07, 0.54,
11200, 411.57, 408.44, 578.46,401.50,0.05, 0.09, 0.55,
11400, 421.65, 414.84, 583.48,408.80,0.03, 0.10, 0.56,
11600, 427.62, 424.65, 588.46,416.10,0.05, 0.09, 0.57,
11800, 436.38, 432.92, 587.81,423.40,0.04, 0.08, 0.58,
12000, 446.57, 439.52, 593.21,430.70,0.03, 0.09, 0.59,
12200, 452.42, 448.03, 589.84,438.00,0.04, 0.10, 0.60,
12400, 461.44, 454.97, 594.78,445.30,0.04, 0.09, 0.61,
12600, 465.84, 463.04, 600.39,452.60,0.05, 0.10, 0.62,
12800, 473.90, 471.99, 603.11,459.90,0.07, 0.10, 0.63,
13000, 483.09, 479.87, 605.87,467.20,0.06, 0.10, 0.64,
13200, 490.67, 486.22, 610.05,474.50,0.06, 0.11, 0.65,
13400, 498.86, 497.15, 609.86,481.80,0.06, 0.10, 0.66,
13600, 516.01, 513.47, 615.12,489.10,0.07, 0.10, 0.67,
13800, 511.56, 505.92, 617.62,496.40,0.09, 0.15, 0.68,
14000, 522.47, 519.19, 620.39,503.70,0.08, 0.12, 0.69,
14200, 529.49, 526.57, 622.86,511.00,0.09, 0.12, 0.70,
14400, 537.46, 533.64, 626.63,518.30,0.09, 0.13, 0.71,
14600, 544.58, 542.29, 627.06,525.60,0.10, 0.13, 0.72,
14800, 552.58, 549.94, 630.32,532.90,0.11, 0.14, 0.73,
15000, 559.18, 555.74, 632.03,540.20,0.12, 0.16, 0.74,
15200, 569.25, 566.51, 633.70,547.50,0.11, 0.15, 0.75,
15400, 576.55, 571.15, 636.94,554.80,0.11, 0.16, 0.76,
15600, 584.15, 578.93, 641.54,562.10,0.13, 0.18, 0.77,
15800, 591.23, 588.42, 644.13,569.40,0.14, 0.18, 0.78,
16000, 598.85, 594.40, 650.16,576.70,0.15, 0.20, 0.79,
16200, 606.40, 602.41, 651.89,584.00,0.16, 0.20, 0.80,
16400, 612.24, 610.52, 655.12,591.30,0.20, 0.22, 0.81,
16600, 618.44, 615.78, 658.00,598.60,0.21, 0.24, 0.82,
16800, 628.26, 627.25, 657.25,605.90,0.21, 0.23, 0.83,
17000, 637.28, 632.09, 661.63,613.20,0.22, 0.26, 0.84,
17200, 641.72, 639.23, 661.38,620.50,0.25, 0.28, 0.85,
17400, 649.83, 641.03, 659.72,627.80,0.26, 0.33, 0.86,
17600, 658.22, 653.27, 661.25,635.10,0.27, 0.31, 0.87,
17800, 662.23, 660.57, 661.42,642.40,0.30, 0.33, 0.88,
18000, 670.00, 667.97, 662.28,649.70,0.31, 0.34, 0.89,
18200, 678.66, 674.79, 663.50,657.00,0.33, 0.36, 0.90,
18400, 685.68, 683.49, 660.36,664.30,0.36, 0.37, 0.91,
18600, 690.97, 689.15, 665.78,671.60,0.38, 0.40, 0.92,
18800, 698.17, 695.13, 670.73,678.90,0.40, 0.43, 0.93,
19000, 705.48, 702.84, 676.12,686.20,0.43, 0.44, 0.94,
19200, 714.96, 712.16, 680.54,693.50,0.41, 0.48, 0.95,
19400, 719.31, 713.82, 691.28,700.80,0.50, 0.50, 0.96,
19600, 726.58, 731.21, 706.35,708.10,0.49, 0.52, 0.97,
19800, 731.86, 726.90, 720.10,715.40,0.53, 0.56, 0.98,
20000, 738.41, 736.37, 731.45,722.70,0.57, 0.61, 0.99,
20200, 744.87, 741.28, 741.13,730.00,0.59, 0.63, 1.00,
20400, 750.35, 750.67, 746.44,737.30,0.64, 0.65, 1.01,
20600, 755.68, 755.80, 748.25,730.00,0.67, 0.67, 1.00,
20800, 748.45, 746.69, 749.06,722.70,0.57, 0.62, 0.99,
21000, 743.42, 739.32, 745.74,715.40,0.55, 0.60, 0.98,
21200, 735.52, 732.54, 740.02,708.10,0.53, 0.56, 0.97,
21400, 726.70, 728.23, 730.52,700.80,0.51, 0.52, 0.96,
21600, 720.21, 723.22, 716.25,693.50,0.46, 0.49, 0.95,
21800, 721.64, 720.10, 706.04,686.20,0.40, 0.43, 0.94,
22000, 710.34, 705.15, 697.73,678.90,0.42, 0.44, 0.93,
22200, 704.68, 699.41, 687.55,671.60,0.36, 0.44, 0.92,
22400, 697.04, 694.88, 680.09,664.30,0.35, 0.39, 0.91,
22600, 687.44, 687.59, 673.36,657.00,0.35, 0.37, 0.90,
22800, 681.04, 678.86, 668.67,649.70,0.32, 0.36, 0.89,
23000, 674.30, 672.38, 668.28,642.40,0.30, 0.34, 0.88,
23200, 668.39, 664.20, 670.38,635.10,0.28, 0.33, 0.87,
