counter,av_current, av_target, spd,av_current, av_target, spd,av_current, av_target, spd
1,24.11,0.00,-0.17,145.67,0.00,-1.02,130.06,0.00,-0.91
2,0.00,0.00,-0.05,33.75,0.00,-0.53,46.74,0.00,-0.59
3,0.00,0.00,-0.05,-114.24,0.00,0.44,-92.43,0.00,0.29
4,0.00,0.00,-0.05,-107.06,0.00,0.62,-113.54,0.00,0.63
5,0.00,0.00,-0.05,-20.00,0.00,0.22,-66.09,0.00,0.52
6,0.00,0.00,-0.05,43.51,0.00,-0.18,34.68,0.00,-0.05
7,0.00,0.00,-0.05,38.94,0.00,-0.24,78.25,0.00,-0.43
8,0.00,0.00,-0.05,16.44,0.00,-0.16,49.45,0.00,-0.38
1,0.00,0.00,0.00,0.00,0.00,0.00,-6.74,0.00,0.05
2,0.00,0.00,0.00,-3.21,0.00,0.02,-27.40,0.00,0.21
3,0.00,0.00,0.00,0.00,0.00,0.01,-15.20,0.00,0.17
4,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.10
5,0.00,0.00,0.00,0.00,0.00,0.01,6.31,0.00,0.05
6,0.00,0.00,0.00,0.00,0.00,0.01,12.03,0.00,0.00
7,0.00,0.00,0.00,0.00,0.00,0.01,8.13,0.00,0.01
8,0.00,0.00,0.00,0.00,0.00,0.01,9.29,0.00,-0.02
1,0.00,10.00,0.08,0.00,10.00,0.08,-2.25,10.00,0.10
2,0.00,10.00,0.10,0.47,10.00,0.10,0.00,10.00,0.11
3,0.00,10.00,0.12,3.54,10.00,0.10,0.00,10.00,0.13
4,0.00,10.00,0.14,8.15,10.00,0.08,1.82,10.00,0.14
5,0.00,10.00,0.16,6.87,10.00,0.09,2.50,10.00,0.15
6,0.00,10.00,0.18,12.22,10.00,0.06,9.84,10.00,0.11
7,0.00,10.00,0.20,2.91,10.00,0.12,16.07,10.00,0.07
8,0.00,10.00,0.22,3.51,10.00,0.13,16.77,10.00,0.05
1,0.48,20.00,0.17,11.69,20.00,0.09,14.32,20.00,0.07
2,12.39,20.00,0.12,13.45,20.00,0.09,10.03,20.00,0.11
3,6.15,20.00,0.18,9.97,20.00,0.13,12.07,20.00,0.12
4,0.00,20.00,0.25,13.04,20.00,0.13,12.83,20.00,0.13
5,1.47,20.00,0.28,15.38,20.00,0.12,17.96,20.00,0.10
6,10.06,20.00,0.26,18.68,20.00,0.11,19.06,20.00,0.10
7,17.80,20.00,0.22,22.78,20.00,0.08,19.35,20.00,0.10
8,27.10,30.00,0.06,20.31,30.00,0.11,22.84,30.00,0.09
1,26.79,30.00,0.07,20.17,30.00,0.13,20.95,30.00,0.12
2,19.33,30.00,0.13,24.48,30.00,0.12,24.34,30.00,0.11
3,16.42,30.00,0.17,27.65,30.00,0.11,23.58,30.00,0.13
4,13.72,30.00,0.22,26.14,30.00,0.12,27.45,30.00,0.12
5,15.41,30.00,0.24,29.63,30.00,0.11,30.79,30.00,0.10
6,18.12,30.00,0.25,32.59,30.00,0.09,32.29,30.00,0.09
7,21.25,30.00,0.25,30.98,30.00,0.09,31.24,30.00,0.09
8,29.82,40.00,0.13,31.47,40.00,0.12,31.85,40.00,0.11
1,34.36,40.00,0.12,31.56,40.00,0.13,30.91,40.00,0.14
2,29.45,40.00,0.16,32.99,40.00,0.14,33.44,40.00,0.14
3,26.87,40.00,0.20,37.08,40.00,0.13,36.12,40.00,0.13
4,24.49,40.00,0.24,41.08,40.00,0.10,42.56,40.00,0.09
5,30.10,40.00,0.24,42.47,40.00,0.09,41.23,40.00,0.10
6,33.40,40.00,0.23,39.59,40.00,0.11,42.24,40.00,0.09
7,41.71,40.00,0.19,41.98,40.00,0.09,42.48,40.00,0.08
8,43.95,50.00,0.11,40.87,50.00,0.14,38.97,50.00,0.15
1,39.24,50.00,0.16,41.88,50.00,0.15,42.54,50.00,0.15
2,39.58,50.00,0.18,45.39,50.00,0.14,46.41,50.00,0.13
3,36.93,50.00,0.22,48.74,50.00,0.12,48.53,50.00,0.13
4,38.41,50.00,0.23,50.69,50.00,0.11,51.97,50.00,0.10
5,43.02,50.00,0.22,52.19,50.00,0.10,52.25,50.00,0.10
6,45.46,50.00,0.22,54.27,50.00,0.08,53.47,50.00,0.09
7,48.96,50.00,0.21,50.48,50.00,0.10,51.34,50.00,0.09
8,50.38,60.00,0.15,50.13,60.00,0.15,49.92,60.00,0.16
1,51.20,60.00,0.17,51.12,60.00,0.17,50.65,60.00,0.17
2,49.44,60.00,0.20,59.09,60.00,0.13,58.09,60.00,0.14
3,51.06,60.00,0.21,61.08,60.00,0.12,61.88,60.00,0.12
4,50.96,60.00,0.22,62.75,60.00,0.10,60.62,60.00,0.12
5,51.46,60.00,0.24,63.19,60.00,0.10,66.13,60.00,0.08
6,55.20,60.00,0.23,59.75,60.00,0.11,61.33,60.00,0.10
7,59.36,60.00,0.21,62.21,60.00,0.10,62.24,60.00,0.09
8,63.30,70.00,0.15,62.05,70.00,0.16,60.44,70.00,0.17
1,61.52,70.00,0.17,62.96,70.00,0.17,62.82,70.00,0.17
2,60.37,70.00,0.20,66.64,70.00,0.15,66.96,70.00,0.15
3,56.33,70.00,0.25,74.37,70.00,0.11,74.58,70.00,0.11
4,61.24,70.00,0.24,74.04,70.00,0.10,74.92,70.00,0.10
5,65.68,70.00,0.22,72.58,70.00,0.10,72.59,70.00,0.10
6,67.85,70.00,0.22,73.42,70.00,0.09,74.47,70.00,0.08
7,71.32,70.00,0.20,70.49,70.00,0.10,69.71,70.00,0.11
8,69.55,80.00,0.19,69.06,80.00,0.19,69.25,80.00,0.19
1,72.48,80.00,0.19,74.01,80.00,0.18,73.67,80.00,0.18
2,69.25,80.00,0.23,79.78,80.00,0.15,81.13,80.00,0.14
3,70.53,80.00,0.24,84.06,80.00,0.12,82.47,80.00,0.13
4,71.45,80.00,0.25,87.64,80.00,0.09,87.73,80.00,0.09
5,77.65,80.00,0.22,84.98,80.00,0.09,84.61,80.00,0.09
6,79.61,80.00,0.22,85.68,80.00,0.08,82.08,80.00,0.10
7,80.58,80.00,0.21,81.34,80.00,0.09,83.84,80.00,0.09
8,80.30,90.00,0.20,79.24,90.00,0.20,79.31,90.00,0.20
1,82.09,90.00,0.20,81.00,90.00,0.21,82.10,90.00,0.21
2,81.25,90.00,0.23,88.87,90.00,0.18,88.52,90.00,0.18
3,84.60,90.00,0.22,100.12,90.00,0.10,96.53,90.00,0.12
4,83.43,90.00,0.24,100.50,90.00,0.08,102.16,90.00,0.07
5,83.64,90.00,0.25,97.11,90.00,0.08,97.70,90.00,0.08
6,89.83,90.00,0.22,94.67,90.00,0.08,94.04,90.00,0.09
7,89.44,90.00,0.22,91.18,90.00,0.10,89.39,90.00,0.11
8,90.74,100.00,0.21,90.05,100.00,0.21,89.97,100.00,0.21
1,90.46,100.00,0.23,94.11,100.00,0.20,93.24,100.00,0.21
2,92.15,100.00,0.24,103.20,100.00,0.15,101.30,100.00,0.17
3,93.56,100.00,0.24,106.50,100.00,0.12,108.59,100.00,0.11
4,95.88,100.00,0.24,109.29,100.00,0.09,109.94,100.00,0.09
5,100.36,100.00,0.21,108.44,100.00,0.08,107.20,100.00,0.09
6,99.39,100.00,0.22,106.70,100.00,0.07,103.39,100.00,0.10
7,98.74,100.00,0.23,100.37,100.00,0.10,102.90,100.00,0.10
8,98.96,110.00,0.23,98.09,110.00,0.24,99.32,110.00,0.23
1,103.44,110.00,0.23,105.35,110.00,0.21,102.49,110.00,0.23
2,102.12,110.00,0.25,114.40,110.00,0.16,114.79,110.00,0.16
3,103.47,110.00,0.25,118.30,110.00,0.12,122.59,110.00,0.10
