Time, vA, vB, vC, targetVelocity, pwmA, pwmB, pwmC
200, 0.00, 0.00, 0.00,0.00,inf, inf, 0.00,
400, 0.00, 0.00, 0.00,7.30,0.00, 0.00, 0.00,
600, 0.00, 5.97, 0.00,14.60,0.16, 0.12, 0.16,
800, 6.52, 8.76, 9.34,21.90,0.14, 0.14, 0.22,
1000, 20.93, 20.74, 16.11,29.20,0.11, 0.11, 0.17,
1200, 29.59, 30.28, 29.51,36.50,0.10, 0.09, 0.16,
1400, 35.89, 37.70, 32.82,43.80,0.11, 0.09, 0.19,
1600, 46.31, 44.81, 43.75,51.10,0.09, 0.10, 0.16,
1800, 50.99, 50.98, 49.21,58.40,0.11, 0.11, 0.18,
2000, 60.16, 60.37, 59.25,65.70,0.10, 0.10, 0.17,
2200, 66.20, 65.77, 64.98,73.00,0.11, 0.11, 0.18,
2400, 74.37, 74.73, 73.29,80.30,0.11, 0.10, 0.18,
2600, 81.55, 81.94, 80.52,87.60,0.11, 0.10, 0.18,
2800, 88.30, 86.76, 87.22,94.90,0.11, 0.11, 0.19,
3000, 99.14, 97.17, 94.93,102.20,0.09, 0.10, 0.19,
3200, 101.91, 100.84, 104.25,109.50,0.11, 0.12, 0.18,
3400, 111.11, 111.09, 107.88,116.80,0.11, 0.10, 0.20,
3600, 120.29, 118.57, 115.76,124.10,0.09, 0.10, 0.20,
3800, 124.57, 124.86, 126.20,131.40,0.11, 0.11, 0.19,
4000, 133.56, 134.74, 133.30,138.70,0.09, 0.09, 0.20,
4200, 141.42, 139.90, 140.36,146.00,0.10, 0.11, 0.20,
4400, 147.93, 146.95, 147.98,153.30,0.11, 0.10, 0.19,
4600, 154.45, 154.37, 158.07,160.60,0.10, 0.11, 0.18,
4800, 162.91, 162.73, 163.88,167.90,0.09, 0.10, 0.20,
5000, 171.58, 170.46, 170.99,175.20,0.09, 0.11, 0.20,
5200, 179.30, 176.79, 177.99,182.50,0.09, 0.11, 0.20,
5400, 188.96, 183.46, 185.22,189.80,0.06, 0.11, 0.21,
5600, 194.80, 195.25, 195.59,197.10,0.08, 0.08, 0.20,
5800, 202.43, 200.34, 198.94,204.40,0.08, 0.09, 0.22,
6000, 210.90, 208.88, 206.41,211.70,0.06, 0.09, 0.22,
6200, 216.13, 217.53, 217.16,219.00,0.08, 0.08, 0.21,
6400, 225.12, 223.28, 223.32,226.30,0.07, 0.09, 0.22,
6600, 235.47, 230.71, 232.58,233.60,0.05, 0.09, 0.21,
6800, 243.60, 240.19, 239.99,240.90,0.05, 0.07, 0.21,
7000, 249.96, 247.80, 245.75,248.20,0.05, 0.06, 0.22,
7200, 258.49, 256.31, 253.17,255.50,0.05, 0.06, 0.23,
7400, 263.67, 263.29, 262.86,262.80,0.06, 0.07, 0.22,
7600, 273.52, 272.63, 268.69,270.10,0.05, 0.06, 0.23,
7800, 279.67, 278.37, 277.28,277.40,0.05, 0.07, 0.22,
8000, 290.60, 284.18, 284.18,284.70,0.03, 0.08, 0.23,
8200, 296.97, 294.99, 290.74,292.00,0.04, 0.06, 0.24,
8400, 306.12, 303.93, 302.29,299.30,0.03, 0.05, 0.21,
8600, 312.45, 308.89, 309.35,306.60,0.04, 0.07, 0.22,
8800, 321.56, 319.30, 315.81,313.90,0.03, 0.05, 0.23,
9000, 328.33, 326.57, 324.68,321.20,0.03, 0.05, 0.22,
9200, 333.71, 334.69, 332.84,328.50,0.04, 0.05, 0.22,
9400, 343.47, 340.41, 337.73,335.80,0.04, 0.07, 0.24,
9600, 350.19, 347.44, 346.51,343.10,0.04, 0.07, 0.24,
9800, 358.66, 354.26, 356.09,350.40,0.02, 0.08, 0.23,
10000, 368.00, 364.55, 361.96,357.70,0.02, 0.06, 0.24,
10200, 374.36, 372.67, 371.48,365.00,0.03, 0.05, 0.23,
10400, 383.96, 377.14, 377.54,372.30,0.02, 0.09, 0.24,
10600, 389.48, 386.47, 386.37,379.60,0.04, 0.07, 0.24,
10800, 399.56, 394.28, 392.46,386.90,0.03, 0.08, 0.26,
11000, 406.00, 400.22, 398.42,394.20,0.03, 0.09, 0.27,
11200, 411.64, 409.17, 407.96,401.50,0.06, 0.08, 0.26,
11400, 421.26, 418.68, 416.80,408.80,0.04, 0.07, 0.26,
11600, 427.52, 424.45, 422.60,416.10,0.05, 0.08, 0.28,
11800, 437.02, 431.88, 429.62,423.40,0.04, 0.09, 0.28,
12000, 443.12, 439.52, 439.31,430.70,0.06, 0.09, 0.28,
12200, 452.35, 449.57, 445.16,438.00,0.06, 0.08, 0.29,
12400, 462.66, 456.94, 454.02,445.30,0.03, 0.08, 0.29,
12600, 468.85, 462.14, 459.27,452.60,0.05, 0.10, 0.31,
12800, 474.21, 471.48, 468.24,459.90,0.07, 0.10, 0.31,
13000, 484.15, 480.24, 475.74,467.20,0.06, 0.10, 0.32,
13200, 492.91, 488.83, 485.16,474.50,0.05, 0.10, 0.31,
13400, 499.14, 495.17, 489.89,481.80,0.07, 0.11, 0.34,
13600, 505.49, 502.73, 497.90,489.10,0.08, 0.12, 0.35,
13800, 514.84, 508.38, 504.89,496.40,0.07, 0.14, 0.36,
14000, 524.39, 518.88, 514.00,503.70,0.07, 0.12, 0.36,
14200, 530.26, 525.95, 525.08,511.00,0.08, 0.12, 0.35,
14400, 536.59, 534.00, 529.75,518.30,0.09, 0.13, 0.37,
14601, 543.74, 539.86, 536.18,525.60,0.11, 0.16, 0.39,
14800, 553.74, 550.78, 543.22,532.90,0.10, 0.15, 0.40,
15000, 567.56, 567.21, 550.87,540.20,0.14, 0.16, 0.45,
15200, 564.44, 560.22, 557.12,547.50,0.14, 0.19, 0.42,
15400, 575.18, 571.96, 565.50,554.80,0.14, 0.18, 0.44,
15600, 582.63, 580.44, 571.34,562.10,0.15, 0.18, 0.47,
15800, 590.95, 586.43, 578.58,569.40,0.16, 0.20, 0.48,
16000, 598.73, 593.58, 585.08,576.70,0.16, 0.22, 0.50,
16200, 606.88, 602.76, 593.97,584.00,0.17, 0.21, 0.51,
16400, 612.52, 609.47, 601.60,591.30,0.20, 0.23, 0.52,
16600, 621.58, 618.73, 608.32,598.60,0.20, 0.24, 0.54,
16800, 625.41, 623.46, 611.63,605.90,0.22, 0.26, 0.58,
17000, 636.52, 631.17, 620.42,613.20,0.22, 0.27, 0.59,
17200, 642.33, 638.43, 626.37,620.50,0.24, 0.29, 0.63,
17400, 649.77, 643.83, 635.11,627.80,0.25, 0.31, 0.63,
17600, 654.26, 655.34, 639.26,635.10,0.29, 0.31, 0.69,
17800, 661.48, 660.36, 645.77,642.40,0.30, 0.33, 0.70,
18000, 670.95, 667.54, 653.17,649.70,0.31, 0.35, 0.75,
18200, 678.64, 675.46, 658.64,657.00,0.32, 0.36, 0.78,
18400, 683.38, 680.09, 663.51,664.30,0.36, 0.40, 0.83,
18600, 690.44, 687.65, 669.64,671.60,0.37, 0.42, 0.86,
18800, 699.64, 697.16, 678.42,678.90,0.39, 0.42, 0.83,
19000, 706.15, 703.34, 681.82,686.20,0.42, 0.45, 0.88,
19200, 717.20, 709.92, 688.25,693.50,0.38, 0.48, 0.88,
19400, 720.72, 714.99, 693.99,700.80,0.44, 0.51, 0.94,
19600, 723.81, 725.58, 699.98,708.10,0.51, 0.55, 0.96,
19800, 733.68, 727.43, 708.14,715.40,0.53, 0.57, 0.96,
20000, 739.48, 735.06, 711.04,722.70,0.55, 0.61, 1.00,
20200, 745.60, 741.04, 723.99,730.00,0.59, 0.65, 0.98,
20400, 751.29, 748.83, 737.94,737.30,0.62, 0.67, 0.97,
20600, 758.69, 752.89, 745.66,730.00,0.66, 0.68, 0.97,
