Time	 vA	 vB	 vC	 targetVelocity	 pwmA	 pwmB	 pwmC
200	0	0	0	0	0	 inf	0
400	0	0	0	7.3	0	0	0.01
600	0.17	7.16	0	14.6	0.16	0.11	0.02
800	4.73	8.74	0	21.9	0.16	0.13	0.03
1000	22.06	25.29	0	29.2	0.1	0.08	0.04
1200	30.32	30.36	0	36.5	0.1	0.09	0.05
1400	35.97	39.06	0	43.8	0.11	0.09	0.06
1600	46.13	43.16	0	51.1	0.09	0.11	0.07
1800	50.35	51.53	0	58.4	0.12	0.1	0.08
2000	60.76	56.55	0	65.7	0.1	0.12	0.09
2200	66.12	70.24	0	73	0.11	0.08	0.1
2400	72.28	74.76	0	80.3	0.12	0.1	0.11
2600	81.2	80.67	0	87.6	0.11	0.12	0.12
2800	88.21	88.15	0	94.9	0.11	0.11	0.13
3000	96.18	95.32	0	102.2	0.11	0.11	0.14
3200	105.13	101.89	0	109.5	0.1	0.12	0.15
3400	110.79	108.05	0	116.8	0.11	0.12	0.16
3600	118.65	118.48	0	124.1	0.1	0.11	0.17
3800	124.86	124.82	0	131.4	0.11	0.11	0.18
4000	132.28	131.51	0	138.7	0.1	0.12	0.19
4200	140.78	139.25	0	146	0.1	0.11	0.2
4400	147.61	145.75	0	153.3	0.1	0.11	0.21
4600	154.37	154.88	0	160.6	0.11	0.11	0.22
4800	163.53	162.02	39.08	167.9	0.1	0.1	0.23
5000	171.15	169.33	73.52	175.2	0.09	0.11	0.24
5200	178.89	176.37	100.58	182.5	0.08	0.11	0.25
5400	185.55	183.34	126.66	189.8	0.09	0.1	0.26
5600	196.02	195.4	150.18	197.1	0.07	0.07	0.27
5800	202.21	200	170.62	204.4	0.08	0.09	0.28
6000	210.15	208.67	192.75	211.7	0.08	0.09	0.29
6200	218.99	216.95	208.33	219	0.06	0.08	0.3
6400	227.95	223.88	227.55	226.3	0.05	0.08	0.31
6600	232.24	231.41	245.58	233.6	0.07	0.08	0.32
6800	241.7	240.19	266.92	240.9	0.06	0.07	0.33
7000	248.99	248.07	280.54	248.2	0.06	0.07	0.34
7200	257.65	255.85	294.31	255.5	0.06	0.07	0.35
7400	264.24	262.27	310.81	262.8	0.05	0.08	0.36
7600	271.82	270.38	325.18	270.1	0.06	0.07	0.37
7800	280.58	277.6	340.16	277.4	0.04	0.08	0.38
8000	289.93	286.79	353.72	284.7	0.03	0.06	0.39
8200	297.25	299.5	363.96	292	0.02	0.03	0.4
8400	303.27	302.98	376.87	299.3	0.04	0.05	0.41
8600	311.39	303.99	390.12	306.6	0.04	0.11	0.42
8800	317.78	315.67	402.72	313.9	0.05	0.08	0.43
9000	330.79	322.89	409.96	321.2	0.02	0.08	0.44
9200	333.01	333.28	423.46	328.5	0.04	0.07	0.45
9400	345.64	338.87	433.08	335.8	0.01	0.08	0.46
9600	352.66	347.39	446.57	343.1	0.02	0.06	0.47
9800	358.42	353.62	455.36	350.4	0.03	0.08	0.48
10000	363.78	365.89	464.7	357.7	0.05	0.05	0.49
10200	374.36	371.75	476.38	365	0.03	0.06	0.5
10400	383.71	377.08	484.22	372.3	0.03	0.08	0.51
10600	390.37	386.72	494.44	379.6	0.02	0.07	0.52
